planet,species,z_exobase_km,knudsen,lambda_mfp_km,mass_amu,radius_AA,z_max_km,H0_km
hot_neptune,OCS,11142,1.0,808,60.075,2.55,40930,409.3
hot_neptune,Sc I,11154,1.0,809,44.956,2.58,40930,409.3
hot_neptune,Ca I,11171,1.0,810,40.078,2.62,40930,409.3
hot_neptune,SO2,11183,1.0,811,64.066,2.65,40930,409.3
hot_neptune,K I,11216,1.0,813,39.098,2.73,40930,409.3
hot_neptune,H2O,11224,1.0,814,18.015,2.75,40930,409.3
hot_neptune,NaCl,11240,1.0,812,58.443,2.8,40930,409.3
hot_neptune,H2S,11281,1.0,816,34.081,2.9,40930,409.3
inflated_hot_jupiter,H I,27856,1.0,1637,1.008,1.2,105786,1057.9
inflated_hot_jupiter,He I,28131,1.0,1646,4.003,1.43,105786,1057.9
inflated_hot_jupiter,H2,28152,1.0,1645,2.016,1.45,105786,1057.9
inflated_hot_jupiter,F I,28174,1.0,1644,18.998,1.47,105786,1057.9
inflated_hot_jupiter,O I,28205,1.0,1643,15.999,1.5,105786,1057.9
inflated_hot_jupiter,Be I,28237,1.0,1642,9.012,1.53,105786,1057.9
inflated_hot_jupiter,Ne I,28248,1.0,1642,20.18,1.54,105786,1057.9
inflated_hot_jupiter,N I,28385,1.0,1652,14.007,1.66,105786,1057.9
inflated_hot_jupiter,Cl I,28480,1.0,1655,35.45,1.75,105786,1057.9
inflated_hot_jupiter,OH,28480,1.0,1655,17.007,1.75,105786,1057.9
inflated_hot_jupiter,C I,28491,1.0,1646,12.011,1.77,105786,1057.9
inflated_hot_jupiter,Li I,28544,1.0,1649,6.94,1.82,105786,1057.9
inflated_hot_jupiter,Ar I,28607,1.0,1653,39.948,1.88,105786,1057.9
inflated_hot_jupiter,S I,28618,1.0,1654,32.06,1.89,105786,1057.9
inflated_hot_jupiter,P I,28629,1.0,1655,30.974,1.9,105786,1057.9
inflated_hot_jupiter,B I,28650,1.0,1657,10.81,1.92,105786,1057.9
inflated_hot_jupiter,CH4,28724,1.0,1654,16.042,2.0,105786,1057.9
inflated_hot_jupiter,O2,28777,1.0,1660,31.999,2.05,105786,1057.9
inflated_hot_jupiter,CO,28819,1.0,1656,28.01,2.1,105786,1057.9
inflated_hot_jupiter,NO,28872,1.0,1663,30.006,2.15,105786,1057.9
inflated_hot_jupiter,Si I,28904,1.0,1659,28.085,2.19,105786,1057.9
inflated_hot_jupiter,NH3,28914,1.0,1660,17.031,2.2,105786,1057.9
inflated_hot_jupiter,SO,28914,1.0,1660,48.059,2.2,105786,1057.9
inflated_hot_jupiter,SiO,28914,1.0,1660,44.084,2.2,105786,1057.9
inflated_hot_jupiter,Al I,28957,1.0,1658,26.982,2.25,105786,1057.9
inflated_hot_jupiter,HCN,28957,1.0,1658,27.026,2.25,105786,1057.9
inflated_hot_jupiter,CO2,29009,1.0,1667,44.01,2.3,105786,1057.9
inflated_hot_jupiter,TiO,29009,1.0,1667,63.866,2.3,105786,1057.9
inflated_hot_jupiter,PH3,29052,1.0,1666,33.998,2.35,105786,1057.9
inflated_hot_jupiter,C3,29094,1.0,1665,36.033,2.4,105786,1057.9
inflated_hot_jupiter,V I,29115,1.0,1669,50.941,2.42,105786,1057.9
inflated_hot_jupiter,Fe I,29126,1.0,1663,55.845,2.44,105786,1057.9
inflated_hot_jupiter,Cr I,29136,1.0,1665,51.996,2.45,105786,1057.9
inflated_hot_jupiter,Mn I,29136,1.0,1665,54.938,2.45,105786,1057.9
inflated_hot_jupiter,Ti I,29147,1.0,1667,47.867,2.46,105786,1057.9
inflated_hot_jupiter,Na I,29179,1.0,1665,22.99,2.5,105786,1057.9
inflated_hot_jupiter,Mg I,29189,1.0,1668,24.305,2.51,105786,1057.9
inflated_hot_jupiter,OCS,29221,1.0,1666,60.075,2.55,105786,1057.9
inflated_hot_jupiter,Sc I,29242,1.0,1663,44.956,2.58,105786,1057.9
inflated_hot_jupiter,Ca I,29285,1.0,1673,40.078,2.62,105786,1057.9
inflated_hot_jupiter,SO2,29306,1.0,1670,64.066,2.65,105786,1057.9
inflated_hot_jupiter,K I,29369,1.0,1669,39.098,2.73,105786,1057.9
inflated_hot_jupiter,H2O,29390,1.0,1675,18.015,2.75,105786,1057.9
