species	b_label	b_effective_kms	star_key	teff_k	beta	beta_err	n_half_beta_cm2
NaCl	10	10.0	F8	6000	1.7192764620267279e-15		5.682064005199619e+26
NaCl	10	10.0	A6	8000	3.275145944165582e-15		5.6850954359487355e+26
NaCl	10	10.0	A0	10000	5.706478501467326e-15		5.685707949542497e+26
NaCl	10	10.0	B5	15000	9.138432254305452e-15		5.6861937324396156e+26
NaCl	10	10.0	B0	30000	1.3198547275729605e-14		5.686857107863239e+26
NaCl	10	10.0	O0	50000	2.8344649165197408e-14		5.687203153781973e+26
NaCl	100	100.0	M6	3000	1.0790417663770742e-16		5.589888498398635e+27
NaCl	100	100.0	K1	5000	8.97126358293294e-16		5.6250165953567e+27
NaCl	100	100.0	F8	6000	1.6916234902264e-15		5.649104656351066e+27
NaCl	100	100.0	A6	8000	3.27566838469157e-15		5.684924405435784e+27
NaCl	100	100.0	A0	10000	5.704473919234729e-15		5.685664274473079e+27
NaCl	100	100.0	B5	15000	9.137570169472339e-15		5.686348637881566e+27
NaCl	100	100.0	B0	30000	1.31976806964353e-14		5.687026422773668e+27
NaCl	100	100.0	O0	50000	2.834273095766281e-14		5.687325743479958e+27
OH	0	1e-20	M6	3000	0.0		
OH	0	1e-20	K1	5000	0.0		
OH	0	1e-20	F8	6000	0.0		
OH	0	1e-20	A6	8000	0.0		
OH	0	1e-20	A0	10000	0.0		
OH	0	1e-20	B5	15000	0.0		
OH	0	1e-20	B0	30000	0.0		
OH	0	1e-20	O0	50000	0.0		
OH	1	1.0	M6	3000	4.2564368957509296e-06		3.670013490062505e+16
OH	1	1.0	K1	5000	0.0010370747699734188		618058010280091.9
OH	1	1.0	F8	6000	0.025046665476638145		544420649982462.1
OH	1	1.0	A6	8000	0.2567062410486442		629874980510980.6
OH	1	1.0	A0	10000	1.142962221557833		659096923277326.5
OH	1	1.0	B5	15000	6.7495554097010615		677473390831878.9
OH	1	1.0	B0	30000	38.6456452040228		706275464988141.8
OH	1	1.0	O0	50000	106.49087559470698		710530760913672.4
OH	10	10.0	M6	3000	4.3002423020478305e-06		3.900498408140911e+17
OH	10	10.0	K1	5000	0.0007892651675971173		6968585980235341.0
OH	10	10.0	F8	6000	0.019720797594088305		5654203166659532.0
OH	10	10.0	A6	8000	0.21128086435796806		6131662030396573.0
OH	10	10.0	A0	10000	0.9315691245755824		6365924852654636.0
OH	10	10.0	B5	15000	5.481953789908028		6507024952578310.0
OH	10	10.0	B0	30000	31.25084540102968		6809236342235810.0
OH	10	10.0	O0	50000	86.1961765033598		6900917357012314.0
OH	100	100.0	M6	3000	4.600573630515931e-06		4.1280880333198305e+18
OH	100	100.0	K1	5000	0.0015050465214820543		1.0573571686326971e+17
OH	100	100.0	F8	6000	0.014723297486312854		8.145286273345138e+16
OH	100	100.0	A6	8000	0.21278233647416336		4.531257246467385e+16
OH	100	100.0	A0	10000	0.9281744255801804		4.601870896822535e+16
OH	100	100.0	B5	15000	5.43423833491504		4.7594719649812664e+16
OH	100	100.0	B0	30000	30.656645519971942		5.013122195728287e+16
OH	100	100.0	O0	50000	85.205799033266		5.035324611840099e+16
SO	0	1e-20	M6	3000	0.0		
SO	0	1e-20	K1	5000	0.0		
SO	0	1e-20	F8	6000	0.0		
SO	0	1e-20	A6	8000	0.0		
SO	0	1e-20	A0	10000	0.0		
SO	0	1e-20	B5	15000	0.0		
SO	0	1e-20	B0	30000	0.0		
