species,b_label,b_effective_kms,star_key,teff_k,n_tau1_cm2,tau_check,beta,beta_err
Li I,1,1.0,B3,19000,200325942758.94028,0.9999999999999999,4348.112007874912,4.450930792611783
Li I,1,1.0,B0,30000,200325942758.94028,0.9999999999999999,8064.977931738704,8.181833507833169
Li I,1,1.0,O0,50000,200325942758.94028,0.9999999999999999,19117.68477720097,19.496984043770407
Li I,10,10.0,M6,3000,1999259007116.5295,1.0,0.04799555308064497,6.878529279829181e-05
Li I,10,10.0,K1,5000,1999259007116.5295,1.0,17.60901054142382,0.022521947500445047
Li I,10,10.0,F8,6000,1999259007116.5295,1.0,116.96344349662395,0.12724662739961548
Li I,10,10.0,A6,8000,1999259007116.5295,1.0,672.6900070638799,0.7086103714438963
Li I,10,10.0,A0,10000,1999259007116.5295,1.0,1546.1705783062396,1.6184318577724806
Li I,10,10.0,B5,15000,1999259007116.5295,1.0,3402.7710378313905,3.5011243166002552
Li I,10,10.0,B3,19000,1999259007116.5295,1.0,4346.550104571631,4.427332488149764
Li I,10,10.0,B0,30000,1999259007116.5295,1.0,8062.289321646173,8.14238305254369
Li I,10,10.0,O0,50000,1999259007116.5295,1.0,19111.276872849005,19.40811647669706
Li I,100,100.0,M6,3000,19988591537700.516,0.9999999999999999,0.2593850809924427,0.0002994346459979105
Li I,100,100.0,K1,5000,19988591537700.516,0.9999999999999999,51.25547276008843,0.056947093655256666
Li I,100,100.0,F8,6000,19988591537700.516,0.9999999999999999,173.03067191362658,0.18836790005034512
Li I,100,100.0,A6,8000,19988591537700.516,0.9999999999999999,675.4401505408208,0.7125677971773486
Li I,100,100.0,A0,10000,19988591537700.516,0.9999999999999999,1546.1268996283916,1.6178304964537482
Li I,100,100.0,B5,15000,19988591537700.516,0.9999999999999999,3406.1489749634525,3.5025033505363647
Li I,100,100.0,B3,19000,19988591537700.516,0.9999999999999999,4348.404619944055,4.426990115959178
Li I,100,100.0,B0,30000,19988591537700.516,0.9999999999999999,8062.168378178588,8.138560260971154
Li I,100,100.0,O0,50000,19988591537700.516,0.9999999999999999,19111.81137217921,19.40098301170206
Li II,0,1e-20,M6,3000,306990770891.2691,1.0,1.4976217495393163e-107,4.198886544606342e-110
Li II,0,1e-20,K1,5000,306990770891.2691,1.0,1.2808054678217556e-94,4.717455659027639e-97
Li II,0,1e-20,F8,6000,306990770891.2691,1.0,1.5475406481449045e-54,5.699892708228948e-57
Li II,0,1e-20,A6,8000,306990770891.2691,1.0,1.1656877186143496e-47,4.293107243780262e-50
Li II,0,1e-20,A0,10000,306990770891.2691,1.0,1.7027123928656073e-37,6.270695639185255e-40
Li II,0,1e-20,B5,15000,306990770891.2691,1.0,6.962962056076837e-11,2.515755490830118e-13
Li II,0,1e-20,B3,19000,306990770891.2691,1.0,1.2630457133357458e-09,4.563071312163136e-12
Li II,0,1e-20,B0,30000,306990770891.2691,1.0,9.929364387320906e-08,3.593551676326036e-10
Li II,0,1e-20,O0,50000,306990770891.2691,1.0,3.7233114380799903,0.012809423893535711
Li II,1,1.0,M6,3000,7677194750243.859,1.0,1.2052899078249623e-107,1.237365538331253e-110
Li II,1,1.0,K1,5000,7677194750243.859,1.0,8.867799059170397e-95,1.1684873879923649e-97
Li II,1,1.0,F8,6000,7677194750243.859,1.0,1.0714570183375389e-54,1.411831551554317e-57
Li II,1,1.0,A6,8000,7677194750243.859,1.0,8.071138370948036e-48,1.0633786853186249e-50
Li II,1,1.0,A0,10000,7677194750243.859,1.0,1.178969244138302e-37,1.5532163249350862e-40
Li II,1,1.0,B5,15000,7677194750243.859,1.0,4.8756662245746824e-11,6.237902452789796e-14
Li II,1,1.0,B3,19000,7677194750243.859,1.0,8.84475399662153e-10,1.1314284483194328e-12
Li II,1,1.0,B0,30000,7677194750243.859,1.0,6.94599410514386e-08,8.908792645990749e-11
Li II,1,1.0,O0,50000,7677194750243.859,1.0,2.6847965513401624,0.003205811110720093
Li II,10,10.0,M6,3000,73717925378477.97,1.0,1.1988637628136813e-107,1.127905664645089e-110
