species	b_label	b_effective_kms	star_key	teff_k	beta	beta_err	n_half_beta_cm2
S III	10	10.0	K1	5000	1.0757217637768425e-11	4.275375989072112e-12	2.536074317725883e+24
S III	10	10.0	F8	6000	1.3939816704853527e-09	1.3675721476275282e-10	234713735265088.66
S III	10	10.0	A6	8000	1.2697741071808029e-06	1.2397335923904577e-07	225050146776270.38
S III	10	10.0	A0	10000	0.002278874714678633	0.0002118151748606437	220853933775112.66
S III	10	10.0	B5	15000	33.31191468121041	2.3217866804049394	181157758474932.25
S III	10	10.0	B0	30000	3185.595273972721	146.81608492902998	47919656802616.22
S III	10	10.0	O0	50000	200876.22142189505	8622.616857902509	11180354035440.607
S III	100	100.0	M6	3000	4.085438574751789e-13	1.6341754298987844e-13	2.5509467490589213e+25
S III	100	100.0	K1	5000	1.0675566547881336e-11	4.244650556322202e-12	2.5220181601734688e+25
S III	100	100.0	F8	6000	1.3204975444435854e-09	1.2943248267659945e-10	2388015526734649.0
S III	100	100.0	A6	8000	1.342116943654395e-06	1.3118532736140523e-07	2319742277468466.0
S III	100	100.0	A0	10000	0.002425576583799471	0.00022623298085384605	2286466938615541.5
S III	100	100.0	B5	15000	35.72504963062328	2.4184871792951577	1768460801292103.2
S III	100	100.0	B0	30000	3188.3609009344655	142.0744892536385	477597809965659.1
S III	100	100.0	O0	50000	199590.35906428812	8451.67067323199	111775198383859.67
Cl I	0	1e-20	M6	3000	7.809180610992123e-21	2.1870502219733493e-21	64861100664.90733
Cl I	0	1e-20	K1	5000	1.3927287927921975e-11	3.5792040999842834e-12	61209874390.04561
Cl I	0	1e-20	F8	6000	8.307443052630354e-08	2.0111505190686244e-08	63516964942.22192
Cl I	0	1e-20	A6	8000	0.002065044713201532	0.000559086246408798	61140786380.19951
Cl I	0	1e-20	A0	10000	7.390771073501993	2.0858412401607347	59240913822.93225
Cl I	0	1e-20	B5	15000	252.29771104878364	56.741021037753356	57485089401.407906
Cl I	0	1e-20	B0	30000	4884.304197225853	1062.616020301933	59002185467.44471
Cl I	0	1e-20	O0	50000	17828.651537380792	3800.6338675535885	60279210293.69882
Cl I	1	1.0	M6	3000	7.9079888849812e-21	1.3446832239358074e-21	10520074135769.047
Cl I	1	1.0	K1	5000	1.422787212474012e-11	2.2251142333199914e-12	6239591722722.88
Cl I	1	1.0	F8	6000	8.410038365061072e-08	1.2511035135708613e-08	5919786285522.29
Cl I	1	1.0	A6	8000	0.002090458872451285	0.0003479883482640593	5143193849867.897
Cl I	1	1.0	A0	10000	7.4816828715800066	1.29819396353535	4919589128152.2295
Cl I	1	1.0	B5	15000	255.38495357245546	35.2585608834352	5986139732981.577
Cl I	1	1.0	B0	30000	4944.610969551281	660.1837075927962	6328202545394.916
Cl I	1	1.0	O0	50000	18049.021312902198	2359.9048042588506	6804607576107.518
Cl I	10	10.0	M6	3000	1.2376449400811237e-20	1.8188994069493202e-21	112402025328085.6
Cl I	10	10.0	K1	5000	1.760554848715722e-11	2.605502005707622e-12	72000008177915.02
Cl I	10	10.0	F8	6000	8.846594992335936e-08	1.3173500687707359e-08	60252315051431.766
Cl I	10	10.0	A6	8000	0.0021000587098063787	0.0003478079569072859	51202185228463.46
Cl I	10	10.0	A0	10000	7.5149937149393455	1.2973600627627342	48967828556524.875
Cl I	10	10.0	B5	15000	254.39439123172033	34.96567679034402	59351668177885.87
Cl I	10	10.0	B0	30000	4941.656626370164	656.8061158055351	62910385620169.836
Cl I	10	10.0	O0	50000	18046.396956929177	2350.4541255727804	67647852554140.97
Cl I	100	100.0	M6	3000	1.9900588325624265e-20	2.893903727502262e-21	834087456231445.1
Cl I	100	100.0	K1	5000	3.136826982822308e-11	4.741640096814627e-12	637634288817239.8
Cl I	100	100.0	F8	6000	1.1300924231820216e-07	1.6793732475510005e-08	608136387292852.1
Cl I	100	100.0	A6	8000	0.0023980617431023418	0.00039439322618264866	544183462822717.8
Cl I	100	100.0	A0	10000	8.898495380941096	1.536394952186105	519697846304435.3
Cl I	100	100.0	B5	15000	248.52046191005658	34.31491403415781	591563511129989.6
Cl I	100	100.0	B0	30000	4823.346826587643	631.747035776372	628379329210769.0
Cl I	100	100.0	O0	50000	17784.845396557	2313.881771816034	671900265831553.4
Cl II	0	1e-20	M6	3000	3.3791279438389356e-10	1.6244437499711715e-10	16794192088.779385
Cl II	0	1e-20	K1	5000	1.0711029901349524e-08	5.1490988798926195e-09	16794194004.96018
Cl II	0	1e-20	F8	6000	2.931350897304798e-08	1.409017373722129e-08	16796519995.58625
Cl II	0	1e-20	A6	8000	1.3151573656319424e-07	4.4519069303496936e-08	27315704521.097378
Cl II	0	1e-20	A0	10000	0.0001809649017066956	6.083363618064243e-05	104174267586.97444
Cl II	0	1e-20	B5	15000	15.514774464253017	5.704693005962974	99250789049.94037
Cl II	0	1e-20	B0	30000	451.942029903761	146.2586091625719	106918062595.24034
Cl II	0	1e-20	O0	50000	1753.3184561176843	564.1326139525837	107333268515.27258
Cl II	1	1.0	M6	3000	1.101084389955468e-09	2.7382262481137676e-10	7.089989558308113e+19
Cl II	1	1.0	K1	5000	3.588082603281228e-08	8.922446542603602e-09	7.194711203590166e+19
Cl II	1	1.0	F8	6000	9.824719998422857e-08	2.4421474604373608e-08	7.199264348226543e+19
Cl II	1	1.0	A6	8000	3.3819145862681066e-07	7.34363310146774e-08	5.657660132087421e+19
Cl II	1	1.0	A0	10000	0.0001836566488881234	3.761269613628871e-05	55041566883962.5
Cl II	1	1.0	B5	15000	15.7092095656292	3.527181263629938	49815053784430.234
Cl II	1	1.0	B0	30000	457.60717389920103	90.42788222782676	57476718409318.14
Cl II	1	1.0	O0	50000	1775.2970734080652	348.78764063305294	57920475243265.68
Cl II	10	10.0	M6	3000	9.476433166789459e-10	2.3566391631870054e-10	7.19172713523792e+20
Cl II	10	10.0	K1	5000	3.54284774548227e-08	8.809869655493976e-09	7.167314359478697e+20
Cl II	10	10.0	F8	6000	9.834859386252855e-08	2.4445967941079276e-08	7.20216295408391e+20
Cl II	10	10.0	A6	8000	3.381450732640258e-07	7.342804489633007e-08	5.658063551402711e+20
Cl II	10	10.0	A0	10000	0.0001836112141559138	3.757943386475489e-05	549640335452683.9
Cl II	10	10.0	B5	15000	15.667053440166379	3.5138352055794746	496795279256936.7
Cl II	10	10.0	B0	30000	456.49001855768455	90.10886208372368	573288118108521.9
Cl II	10	10.0	O0	50000	1776.1209925050034	348.69937738574475	578717595818119.5
Cl II	100	100.0	M6	3000	9.284451733723972e-10	2.308899850172768e-10	7.125300976663573e+21
Cl II	100	100.0	K1	5000	3.521135706433515e-08	8.755755076862133e-09	7.133400165928054e+21
Cl II	100	100.0	F8	6000	9.831515558564378e-08	2.4435397235762367e-08	7.169662128532532e+21
Cl II	100	100.0	A6	8000	3.3692844976753935e-07	7.328641561666743e-08	5.676190924924985e+21
Cl II	100	100.0	A0	10000	0.00018128089062454284	3.723659121931307e-05	5441291937121839.0
Cl II	100	100.0	B5	15000	15.170245748101504	3.4409240209180294	4889580768924108.0
Cl II	100	100.0	B0	30000	449.250921177159	89.99227987752933	5681863718584133.0
Cl II	100	100.0	O0	50000	1790.375116217955	352.01269348718876	5785124156615067.0
Cl III	0	1e-20	M6	3000	2.9227110479501996e-12	9.298605289226354e-13	17747837130.791473
Cl III	0	1e-20	K1	5000	5.012867518006345e-09	1.746050462823862e-09	15324238114.238546
Cl III	0	1e-20	F8	6000	2.8883898393029858e-08	9.584531229900338e-09	16476179433.086363
Cl III	0	1e-20	A6	8000	8.534645728368794e-07	3.846449459758708e-07	73383683855.60077
Cl III	0	1e-20	A0	10000	0.004121234696723595	0.0021790420367106514	93891456739.38477
Cl III	0	1e-20	B5	15000	387.6022241464699	199.5683819956571	102324986940.3764
Cl III	0	1e-20	B0	30000	19664.18673677783	9831.306668734256	102271815741.06366
Cl III	0	1e-20	O0	50000	97631.62699956984	50708.78244120585	96374237540.96078
Cl III	1	1.0	M6	3000	8.07375614635552e-12	1.2143246992164488e-12	1.264336414338247e+21
Cl III	1	1.0	K1	5000	6.5175527561571244e-09	1.3665779579638968e-09	1.699270597067818e+20
Cl III	1	1.0	F8	6000	3.7149012516666435e-08	7.509411538507675e-09	1.7409824943716486e+20
Cl III	1	1.0	A6	8000	9.039269829103571e-07	2.4100025771904694e-07	2389660779518.8926
Cl III	1	1.0	A0	10000	0.004167696951154999	0.001359724761955171	1606310948560.8372
Cl III	1	1.0	B5	15000	391.9572439790123	124.56613090983267	1740171761717.2046
Cl III	1	1.0	B0	30000	19885.439339969886	6135.231914610199	1735917688503.177
Cl III	1	1.0	O0	50000	98729.48153816188	31642.733362348077	1643942792581.0967
Cl III	10	10.0	M6	3000	7.51812778347361e-12	1.1115165955447012e-12	1.0226498537327759e+22
Cl III	10	10.0	K1	5000	6.142045245836425e-09	1.252344125981694e-09	1.6895949484488927e+21
Cl III	10	10.0	F8	6000	3.6877304898544387e-08	7.42290980850629e-09	1.7376801662962694e+21
Cl III	10	10.0	A6	8000	9.049480565977957e-07	2.3589362754544213e-07	23083878650967.004
Cl III	10	10.0	A0	10000	0.0041703661316107145	0.0013296774503314202	15555268948617.809
Cl III	10	10.0	B5	15000	392.4011016284611	121.80718060961559	16853074569074.25
Cl III	10	10.0	B0	30000	19956.64657794171	6013.401427248793	16839602579309.041
Cl III	10	10.0	O0	50000	98876.68313467091	30965.608731593038	15924888048494.088
Cl III	100	100.0	M6	3000	5.627515899125413e-12	8.268326821457249e-13	8.072506616606162e+22
Cl III	100	100.0	K1	5000	4.256335034791117e-09	7.453213895129913e-10	2.1914261243843228e+22
Cl III	100	100.0	F8	6000	2.9776978867274956e-08	5.636280870094391e-09	1.8996051650768368e+22
Cl III	100	100.0	A6	8000	9.077766577834849e-07	2.3496086683096537e-07	232262177893784.22
Cl III	100	100.0	A0	10000	0.004097378798503305	0.0013088210493388272	153280630699067.9
Cl III	100	100.0	B5	15000	388.66666219417283	117.7564002461649	164719154910692.84
Cl III	100	100.0	B0	30000	21662.99717140868	6512.1393076542945	172052478614014.97
Cl III	100	100.0	O0	50000	98760.49915176758	30738.177796716984	158843205754039.44
Ar I	0	1e-20	M6	3000	9.760229700014297e-29	3.155986858981297e-30	31502893754.08089
